Paper,Interaction,Modality,Intent,Agents,Method
Exploring Human-AI Synergy for Complex C,Human-AI Question Review,Text Chat Modality,Deliberation Intent,Large Language Model,Cooperative Learning Method
Exploring Human-AI Synergy for Complex C,Human-AI Question Review,Text Chat Modality,Deliberation Intent,Large Language Model,Semantic Embedding Method
Exploring Human-AI Synergy for Complex C,Human-AI Question Review,Text Chat Modality,Deliberation Intent,Professional Fact-checker,Data Collection Method
Extracting Triples from Dialogues for Co,Human-AI Dialogue,Text Chat Modality,Explanation Intent,Dialogue Annotator,—
Extracting Triples from Dialogues for Co,Human-AI Dialogue,Text Chat Modality,Explanation Intent,Triple Extraction Model,Semantic Linking Method
Formalizing Explanation Design Through I,User-System Explanation Intera,Dashboard Modality,Explanation Intent,Interaction Designer,—
Formalizing Explanation Design Through I,User-System Explanation Intera,Dashboard Modality,Explanation Intent,XAI System,Post-hoc Explanation Method
Human Response to Decision Support in Fa,Human-Machine Decision Interac,Dashboard Modality,Explanation Intent,Face Matching System,Pattern learning capability
Human Response to Decision Support in Fa,Human-Machine Decision Interac,Dashboard Modality,Explanation Intent,Human Annotator,Data Collection Method
Hybrid Autonomy: Towards a Unified Frame,Robot-Patient Interaction,Voice Chat Modality,Guide Intent,Assistive Robot,Reinforcement Learning Method
Hybrid Autonomy: Towards a Unified Frame,Robot-Patient Interaction,Voice Chat Modality,Guide Intent,Assistive Robot,Data Collection Method
Hybrid Autonomy: Towards a Unified Frame,Robot-Patient Interaction,Voice Chat Modality,Guide Intent,Caregiver,—
Hybrid Human-AI Systems for Preserving C,Human-AI Collaboration,Verbal Dialogue Modality,Guide Intent,AI System,Semantic Embedding Method
Hybrid Human-AI Systems for Preserving C,Human-AI Collaboration,Verbal Dialogue Modality,Guide Intent,AI System,Reinforcement Learning Method
Hybrid Human-AI Systems for Preserving C,Human-AI Collaboration,Verbal Dialogue Modality,Guide Intent,Cultural Expert,Data Collection Method
Hybrid Human-AI Systems for Preserving C,Human-AI Collaboration,Verbal Dialogue Modality,Guide Intent,Cultural Expert,Protocol Negotiation Method
Multi-Head Networks for Missing Modaliti,Model Feedback Session,Dashboard Modality,Explanation Intent,Multi-Head Network,Data Collection Method
Multi-Head Networks for Missing Modaliti,Model Feedback Session,Dashboard Modality,Explanation Intent,Multi-Head Network,Semantic Linking Method
Multi-Head Networks for Missing Modaliti,Model Feedback Session,Dashboard Modality,Explanation Intent,Research Scientist,Meta-Analysis Scoring Method
Ontology-Based Risk Assessment in Smelti,Operator-Driver Communication,Voice Chat Modality,Deliberation Intent,Driver,—
Ontology-Based Risk Assessment in Smelti,Operator-Driver Communication,Voice Chat Modality,Deliberation Intent,Operator,Protocol Negotiation Method
Quality-Informed Active Learning on Soci,Analyst-System Dialogue,Text Chat Modality,Explanation Intent,Active Learning System,Meta-Analysis Scoring Method
Quality-Informed Active Learning on Soci,Analyst-System Dialogue,Text Chat Modality,Explanation Intent,Crisis Analyst,Argumentation Reasoning Method
Supporting Responsible Human-AI Cooperat,AI to Human Explanation,Dashboard Modality,Explanation Intent,AI Decision Support System,Reinforcement Learning Method
Supporting Responsible Human-AI Cooperat,AI to Human Explanation,Dashboard Modality,Explanation Intent,Emergency Responder,Argumentation Reasoning Method
Supporting Responsible Human-AI Cooperat,AI to Human Explanation,Dashboard Modality,Explanation Intent,Emergency Responder,Data Collection Method
Towards Building a Trustworthy RAG-Based,User Query Interaction,Text Chat Modality,Answer Intent,Government Employee,—
Towards Building a Trustworthy RAG-Based,User Query Interaction,Text Chat Modality,Answer Intent,RAG Chatbot,Knowledge Graph Query Method
Towards Building a Trustworthy RAG-Based,User Query Interaction,Text Chat Modality,Answer Intent,RAG Chatbot,Post-hoc Explanation Method
